variable	tipo	n_valores_unicos	min	max
p4_9_2_4.0	int64	2	0.0	1.0
p4_9_2_5.0	int64	2	0.0	1.0
p4_9_2_6.0	int64	2	0.0	1.0
p4_9_2_9.0	int64	2	0.0	1.0
p4_9_2_nan	int64	2	0.0	1.0
p4_9_3_2.0	int64	2	0.0	1.0
p4_9_3_3.0	int64	2	0.0	1.0
p4_9_3_4.0	int64	2	0.0	1.0
p4_9_3_5.0	int64	2	0.0	1.0
p4_9_3_6.0	int64	2	0.0	1.0
p4_9_3_9.0	int64	2	0.0	1.0
p4_9_3_nan	int64	2	0.0	1.0
p4_9_4_2.0	int64	2	0.0	1.0
p4_9_4_3.0	int64	2	0.0	1.0
p4_9_4_4.0	int64	2	0.0	1.0
p4_9_4_5.0	int64	2	0.0	1.0
p4_9_4_6.0	int64	2	0.0	1.0
p4_9_4_9.0	int64	2	0.0	1.0
p4_9_4_nan	int64	2	0.0	1.0
p4_9_5_2.0	int64	2	0.0	1.0
p4_9_5_3.0	int64	2	0.0	1.0
p4_9_5_4.0	int64	2	0.0	1.0
p4_9_5_5.0	int64	2	0.0	1.0
p4_9_5_6.0	int64	2	0.0	1.0
p4_9_5_9.0	int64	2	0.0	1.0
p4_9_5_nan	int64	2	0.0	1.0
p4_9_6_2.0	int64	2	0.0	1.0
p4_9_6_3.0	int64	2	0.0	1.0
p4_9_6_4.0	int64	2	0.0	1.0
p4_9_6_5.0	int64	2	0.0	1.0
p4_9_6_6.0	int64	2	0.0	1.0
p4_9_6_9.0	int64	2	0.0	1.0
p4_9_6_nan	int64	2	0.0	1.0
p3_7_2.0	int64	2	0.0	1.0
p3_7_9.0	int64	2	0.0	1.0
p3_7_nan	int64	2	0.0	1.0
niv_1.0	int64	2	0.0	1.0
niv_10.0	int64	2	0.0	1.0
niv_11.0	int64	2	0.0	1.0
niv_2.0	int64	2	0.0	1.0
niv_3.0	int64	2	0.0	1.0
niv_4.0	int64	2	0.0	1.0
niv_5.0	int64	2	0.0	1.0
niv_6.0	int64	2	0.0	1.0
niv_7.0	int64	2	0.0	1.0
niv_8.0	int64	2	0.0	1.0
niv_9.0	int64	2	0.0	1.0
niv_99.0	int64	2	0.0	1.0
niv_nan	int64	2	0.0	1.0
p3_9_2.0	int64	2	0.0	1.0
p3_9_3.0	int64	2	0.0	1.0
p3_9_4.0	int64	2	0.0	1.0
p3_9_5.0	int64	2	0.0	1.0
p3_9_6.0	int64	2	0.0	1.0
p3_9_7.0	int64	2	0.0	1.0
p3_9_8.0	int64	2	0.0	1.0
p3_9_9.0	int64	2	0.0	1.0
p3_9_nan	int64	2	0.0	1.0
p3_10_2.0	int64	2	0.0	1.0
p3_10_3.0	int64	2	0.0	1.0
p3_10_4.0	int64	2	0.0	1.0
p3_10_5.0	int64	2	0.0	1.0
p3_10_6.0	int64	2	0.0	1.0
p3_10_7.0	int64	2	0.0	1.0
p3_10_nan	int64	2	0.0	1.0
p5_4_2.0	int64	2	0.0	1.0
p5_4_nan	int64	2	0.0	1.0
p5_8_1.0	int64	2	0.0	1.0
p5_8_2.0	int64	2	0.0	1.0
p5_8_3.0	int64	2	0.0	1.0
p5_8_4.0	int64	2	0.0	1.0
p5_8_5.0	int64	2	0.0	1.0
p5_8_6.0	int64	2	0.0	1.0
p5_8_7.0	int64	2	0.0	1.0
p5_8_8.0	int64	2	0.0	1.0
p5_8_99.0	int64	2	0.0	1.0
p5_8_nan	int64	2	0.0	1.0
p5_9_1_2.0	int64	2	0.0	1.0
p5_9_1_nan	int64	2	0.0	1.0
p5_9_2_2.0	int64	2	0.0	1.0
p5_9_2_3.0	int64	2	0.0	1.0
p5_9_2_4.0	int64	2	0.0	1.0
p5_9_2_5.0	int64	2	0.0	1.0
p5_9_2_6.0	int64	2	0.0	1.0
p5_9_2_7.0	int64	2	0.0	1.0
p5_9_2_8.0	int64	2	0.0	1.0
p5_9_2_nan	int64	2	0.0	1.0
p5_10_2_10.0	int64	2	0.0	1.0
p5_10_2_11.0	int64	2	0.0	1.0
p5_10_2_15.0	int64	2	0.0	1.0
p5_10_2_2.0	int64	2	0.0	1.0
p5_10_2_3.0	int64	2	0.0	1.0
p5_10_2_4.0	int64	2	0.0	1.0
p5_10_2_5.0	int64	2	0.0	1.0
p5_10_2_6.0	int64	2	0.0	1.0
